model_id,country_iso3,pilot_id,slot_id,domain,task,language,replicate_idx,venue,latency_ms,prompt_tokens,response_tokens,finish_reason,primary_task_score,factual_accuracy,contextual_completeness,citation_quality,calibration,absence_of_hallucination,composite
claude_haiku,NGA,NGA_P09,P09,D2,T5,en,0,anthropic_paid,2810,67,174,end_turn,0.65,0.7549999999999999,0.325,0.325,0.65,1.0,0.604
claude_haiku,NGA,NGA_P09,P09,D2,T5,en,1,anthropic_paid,2389,67,116,end_turn,0.65,0.7549999999999999,0.325,0.325,0.65,1.0,0.604
claude_haiku,NGA,NGA_P10,P10,D1,T5,en,0,anthropic_paid,2764,56,146,end_turn,0.65,0.7549999999999999,0.325,0.325,0.65,1.0,0.604
claude_haiku,NGA,NGA_P10,P10,D1,T5,en,1,anthropic_paid,2511,56,158,end_turn,0.65,0.7549999999999999,0.325,0.325,0.65,1.0,0.604
claude_haiku,IND,IND_P01,P01,D1,T1,en,0,anthropic_paid,1585,51,82,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,IND,IND_P01,P01,D1,T1,en,1,anthropic_paid,1537,51,82,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,IND,IND_P02,P02,D3,T1,en,0,anthropic_paid,3204,47,254,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,IND,IND_P02,P02,D3,T1,en,1,anthropic_paid,4188,47,315,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,IND,IND_P03,P03,D1,T2,en,0,anthropic_paid,4083,47,283,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,IND,IND_P03,P03,D1,T2,en,1,anthropic_paid,3609,47,276,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,IND,IND_P04,P04,D2,T2,en,0,anthropic_paid,3699,66,257,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,IND,IND_P04,P04,D2,T2,en,1,anthropic_paid,4044,66,258,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,IND,IND_P05,P05,D1,T3,en,0,anthropic_paid,3262,49,294,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,IND,IND_P05,P05,D1,T3,en,1,anthropic_paid,3039,49,289,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,IND,IND_P06,P06,D3,T3,en,0,anthropic_paid,3379,50,304,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,IND,IND_P06,P06,D3,T3,en,1,anthropic_paid,3715,50,301,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,IND,IND_P07,P07,D1,T4,en,0,anthropic_paid,5059,66,405,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,IND,IND_P07,P07,D1,T4,en,1,anthropic_paid,4207,66,381,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,IND,IND_P08,P08,D3,T4,en,0,anthropic_paid,4059,43,392,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,IND,IND_P08,P08,D3,T4,en,1,anthropic_paid,3991,43,386,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,IND,IND_P09,P09,D2,T5,en,0,anthropic_paid,2791,67,186,end_turn,1.0,1.0,0.5,0.5,1.0,1.0,0.8
claude_haiku,IND,IND_P09,P09,D2,T5,en,1,anthropic_paid,3125,67,190,end_turn,1.0,1.0,0.5,0.5,1.0,1.0,0.8
claude_haiku,IND,IND_P10,P10,D1,T5,en,0,anthropic_paid,2682,56,157,end_turn,1.0,1.0,0.5,0.5,1.0,1.0,0.8
claude_haiku,IND,IND_P10,P10,D1,T5,en,1,anthropic_paid,2602,56,144,end_turn,1.0,1.0,0.5,0.5,1.0,1.0,0.8
claude_haiku,USA,USA_P01,P01,D1,T1,en,0,anthropic_paid,1877,53,102,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,USA,USA_P01,P01,D1,T1,en,1,anthropic_paid,1696,53,94,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,USA,USA_P02,P02,D3,T1,en,0,anthropic_paid,4360,49,320,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,USA,USA_P02,P02,D3,T1,en,1,anthropic_paid,4110,49,330,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,USA,USA_P03,P03,D1,T2,en,0,anthropic_paid,3331,49,257,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,USA,USA_P03,P03,D1,T2,en,1,anthropic_paid,3485,49,238,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,USA,USA_P04,P04,D2,T2,en,0,anthropic_paid,3083,68,266,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,USA,USA_P04,P04,D2,T2,en,1,anthropic_paid,3095,68,261,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
