unctad,model_category,mean_acc,sd_acc,n,ci95
north,frontier_proprietary,0.7810306909661907,0.27319613789627734,2250,0.011288581371192053
north,open_global,0.8963968317646167,0.19474822812398343,750,0.013937951683481912
north,regional,0.8407576550531153,0.23552252157798365,750,0.016856130388184495
north,scale_control,0.8276021979865881,0.23603830341173548,750,0.01689304441994387
south,frontier_proprietary,0.47435652064316014,0.34579078160905774,9450,0.006971938995802927
south,open_global,0.6398194250220072,0.32639324774158435,3150,0.01139834925978407
south,regional,0.5336467464568754,0.3378580789208394,3150,0.01179872564897051
south,scale_control,0.5155690721888162,0.3390205889468362,3150,0.011839322981746244
